num,objID,flag,conf,Anomaly Score,RA,Dec,u_b_exp
37269,1237680315526349194,0,0.9604,0.041568823158741,30.307165,30.35772,23.02068283807441
37270,1237680479271977763,0,0.9506,0.01679040864109993,13.681461,33.020616,22.981859183863403
37271,1237680479272370608,0,0.7818,0.04641003534197807,14.596133,32.91362,22.30203710603549
37272,1237680479272894915,0,0.8741,0.08125097304582596,16.137114,32.780536,22.103774380815572
37273,1237680316057977527,0,0.641,0.1495109498500824,16.512405,32.626494,21.573168175263124
37274,1237680316058632857,0,0.8979,0.021883556619286537,18.287415,32.467651,22.872791557585003
37275,1237680316058763675,0,0.9198,0.06223870813846588,18.648694,32.518504,18.175461961426723
37276,1237680316059550069,0,0.9483,0.02147252857685089,20.747708,32.178637,22.737740636984974
37277,1237680316059943289,0,0.7201,0.06322303414344788,21.633526,32.076888,22.07300702662363
37278,1237680316060270876,0,0.5285,0.06704770028591156,22.649681,32.058283,21.433525025048798
37279,1237680316060336134,0,0.8126,0.0263812318444252,22.679686,31.912589,
37280,1237680316062106073,0,0.869,0.03138211742043495,27.36204,31.194897,22.115181480065814
37281,1237680316062237311,0,0.83,0.03367318958044052,27.78391,31.084035,22.35127323435498
37282,1237680316062695446,0,0.8398,0.28572797775268555,28.938576,31.014696,22.061700664722714
37283,1237680316063023519,0,0.959,0.09991756081581116,29.899705,30.859413,22.370821263006757
37284,1237680316063089145,0,0.9413,0.04127807170152664,29.980183,30.808002,22.620017869578028
37285,1237680316063941228,0,0.9493,0.033190272748470306,32.273195,30.319162,22.901850740165003
37286,1237680316065054917,0,0.8989,0.24228927493095398,35.046054,29.554086,21.151927266143574
37287,1237680479808848431,0,0.7093,0.009544510394334793,13.596861,33.393717,
37288,1237680316595175666,0,0.9413,0.030439816415309906,17.41187,33.037262,22.555063947512522
37289,1237680316595241274,0,0.9506,0.051804281771183014,17.633704,32.950393,22.84012224054106
37290,1237680316595307239,0,0.8204,0.05973484739661217,17.812535,32.943858,22.177052255205886
37291,1237680316597272795,0,0.5753,0.053856879472732544,23.007405,32.31427,21.401721050268048
37292,1237680316597469480,0,0.7055,0.3861173987388611,23.626403,32.253092,22.013949334128842
37293,1237679582157996376,0,0.8358,0.062218278646469116,29.077929,31.257238,21.907126408173692
37294,1237680333773276769,0,0.6982,0.014796765521168709,323.562841,24.309763,22.512372946439882
37295,1237680333774390017,0,0.8927,0.0782070904970169,326.096978,25.150407,22.122750950868898
37296,1237680333774718396,0,0.9039,0.024826547130942345,326.959639,25.415345,22.66727556722015
37297,1237680333774782958,0,0.7949,0.30666065216064453,327.144338,25.440877,20.670340877579658
37298,1237680333775700190,0,0.9262,0.4885224997997284,329.307671,26.044809,22.128938099237917
37299,1237680531346359353,0,0.5783,0.029621342197060585,331.895,26.947518,22.22735212223776
37300,1237680326801687293,0,0.9561,0.05606825649738312,339.462776,28.606677,22.503961681990052
37301,1237680326802735605,0,0.6695,0.11589209735393524,342.227997,29.154879,21.098286704723684
37302,1237680326803719053,0,0.7752,0.036415137350559235,344.716151,29.680863,22.15102109177076
37303,1237680326804570805,0,0.7874,0.11510899662971497,346.923563,30.120596,21.5879408955575
37304,1237680327332398245,0,0.8693,0.01759045571088791,324.279425,25.010159,22.744126492381614
37305,1237680327337378286,0,0.9252,0.13027137517929077,336.354743,28.42705,19.542184166385347
37306,,1,0.9622,0.1144445538520813,336.523798,28.482391,
37307,1237680327338034035,0,0.8598,0.0771118625998497,338.064229,28.746098,22.099984044279886
37308,,1,0.7622,0.2378947138786316,342.814983,29.835543,
37309,,1,0.771,0.06046450883150101,345.298819,30.271879,
37310,1237680327341048470,0,0.8696,0.1078711450099945,345.838586,30.286069,21.67386724606833
37311,1237680327342490645,0,0.8753,0.016607029363512993,349.573144,30.850243,22.616854822733334
37312,1237680327871497198,0,0.6416,0.03871402144432068,329.37421,27.135036,21.9199622583817
37313,1237680327873069134,0,0.8977,0.04800225421786308,333.262828,28.072257,22.236004651765278
37314,1237680327873462931,0,0.766,0.04167960584163666,334.282658,28.425828,21.59079417923733
37315,1237680327874249731,0,0.9608,0.030246656388044357,336.270143,28.945105,22.235451391712346
37316,1237680327874380782,0,0.8633,0.031064027920365334,336.576022,28.972165,21.978063016244832
37317,1237680327876740017,0,0.6722,0.009800453670322895,342.570881,30.25223,23.29656372209065
37318,1237680327877394955,0,0.8651,0.031964220106601715,344.302055,30.513291,22.553397541564014
37319,1237680327877657191,0,0.755,0.10139627754688263,345.118468,30.503437,21.72668455569399
37320,1237680327877722505,0,0.8958,0.10528787970542908,345.136073,30.707522,25.010263829092445
37321,1237680328407253402,0,0.785,0.05441142991185188,326.635577,26.680519,22.193067992666155
37322,1237680328407253625,0,0.9189,0.05735360085964203,326.529151,26.663034,22.348783889839723
37323,1237680328407843477,0,0.75,0.02014646679162979,327.954015,27.118284,22.08319950596027
37324,1237680328408039650,0,0.9524,0.10203070193529129,328.518397,27.127704,22.107628706837826
37325,1237680328409350795,0,0.9072,0.060041241347789764,331.71965,28.09185,22.45295544760898
37326,1237680328410268412,0,0.9016,0.08260131627321243,334.047951,28.788596,22.42551581336807
37327,1237680328414593846,0,0.9118,0.05589037761092186,345.156915,30.959913,
37328,1237680328415773559,0,0.5398,0.009540342725813389,348.12197,31.536846,22.895251315888135
37329,1237680328943666187,0,0.7078,0.022142695263028145,325.301405,26.627762,
37330,1237680328944452845,0,0.6576,0.025821685791015625,327.183289,27.184084,22.70835217854638
37331,1237680328947532897,0,0.5646,0.022841550409793854,334.924515,29.420989,22.112266307388186
37332,1237672763900232782,0,0.7426,0.008986438624560833,341.510598,30.791285,23.516964770302522
37333,1237672764437169061,0,0.6521,0.016155820339918137,342.054045,30.882489,22.37024244236655
37334,1237680328951136551,0,0.8936,0.041487932205200195,344.071761,31.308081,21.449519265918852
37335,1237680328951595737,0,0.9354,0.026858516037464142,345.282672,31.561386,21.998885589889987
37336,1237680328951857972,0,0.9607,0.014336004853248596,346.039217,31.63668,22.761538004906168
37337,1237680328952054493,0,0.9444,0.03159896284341812,346.516577,31.707736,22.627816592916435
37338,1237680329479030285,0,0.8432,0.037663884460926056,321.545899,25.852423,22.688953579545505
37339,1237680498595465038,0,0.7937,0.012558301910758018,325.686712,27.301294,22.54070468031215
37340,1237680498595726368,0,0.7669,0.0722094252705574,326.427308,27.438904,21.23680626728315
37341,1237680498595792896,0,0.7338,0.011689571663737297,326.584804,27.513928,22.058496976315933
37342,1237680498595988369,0,0.9424,0.11313816905021667,326.990399,27.602487,22.845739481877118
37343,1237680498597561464,0,0.8367,0.021752186119556427,330.934079,28.792573,
37344,1237672766047716171,0,0.6549,0.0550096333026886,343.293712,31.586046,22.392130003759487
37345,1237680329487941789,0,0.5192,0.09546006470918655,343.90615,31.593278,22.338264635529402
37346,1237680329488008049,0,0.9564,0.024362610653042793,344.101138,31.795375,
37347,1237680329488401151,0,0.9501,0.048377495259046555,345.080128,31.808504,13.78795477845652
37348,1237680329488467013,0,0.8915,0.04403234273195267,345.211426,31.868528,23.335433849615676
37349,1237680329489056484,0,0.8684,0.014427486807107925,346.749349,32.222662,23.094610521643567
37350,1237680331090757015,0,0.5954,0.13288643956184387,328.478617,23.725318,22.61016222351359
37351,1237680331094229867,0,0.9251,0.014703091233968735,337.05561,25.786607,22.54095304769468
37352,1237680331095671529,0,0.6539,0.04114305227994919,340.610373,26.606498,21.967415892305144
37353,1237680331095868171,0,0.9277,0.06734968721866608,341.022758,26.728925,22.593866988304715
37354,1237680331096130280,0,0.5597,0.02111968770623207,341.661837,26.85407,22.205746723064745
37355,1237680331096851277,0,0.7202,0.018635200336575508,343.443343,27.092393,
37356,1237680331097571604,0,0.7573,0.05484364926815033,345.329326,27.319291,22.23135241798792
37357,1237680331097637723,0,0.619,0.015025047585368156,345.558897,27.496497,22.586898481314783
37358,1237680331098292758,0,0.9636,0.032305262982845306,347.075316,27.716415,22.32492136581379
37359,1237680331098424406,0,0.7067,0.017840784043073654,347.571357,27.687957,22.83096940142195
37360,1237680331098620512,0,0.718,0.008343696594238281,347.929008,27.756236,22.852665064855916
37361,1237680331102290537,0,0.6935,0.02402961626648903,357.501075,28.705773,17.56706240235795
37362,1237663233915421328,0,0.864,0.023477546870708466,0.208456,28.731074,22.303128836226804
37363,1237680331103601385,0,0.92,0.01181156374514103,0.879697,28.722691,22.98470850767351
37364,1237680331104387311,0,0.8289,0.16375575959682465,2.931509,28.741484,22.4092185947809
37365,1237680331105436107,0,0.9388,0.04009251669049263,5.633551,28.892467,22.405338404254696
37366,1237680331106550020,0,0.9508,0.10270734131336212,8.473747,28.764145,22.955170809630623
37367,1237680331107730069,0,0.616,0.013422074727714062,11.592447,28.702243,22.95966021038453
37368,1237680331109237125,0,0.9412,0.03263530507683754,15.468781,28.474853,23.044724012180122
37369,1237680331109630527,0,0.8124,0.028163418173789978,16.534122,28.305518,20.36370818474958
37370,1237680331111661996,0,0.8485,0.026931874454021454,21.787845,27.807106,20.59449951480919
37371,1237680331626579414,0,0.8523,0.08019987493753433,325.966812,23.350424,22.630155823013663
37372,1237680331626972605,0,0.9492,0.016728971153497696,326.81226,23.607615,
37373,1237680331627889799,0,0.88,0.0339878648519516,329.092145,24.32532,21.706617244120903
37374,1237680331628021072,0,0.8607,0.014799094758927822,329.304471,24.279289,22.683570843042986
37375,1237680331628610541,0,0.6989,0.02620203234255314,330.749696,24.837083,22.07071593293195
37376,1237680331629134788,0,0.9564,0.045880578458309174,332.059132,25.056513,22.195960643684547
37377,1237680331631166412,0,0.9551,0.019303688779473305,337.031921,26.218306,19.632960795535904
37378,1237680331631231970,0,0.9288,0.0392066091299057,337.189074,26.335962,17.86268430050765
37379,1237680331632412324,0,0.8814,0.024814581498503685,340.190941,26.912514,22.64051861494075
37380,1237680331632804709,0,0.9183,0.015006408095359802,341.143184,27.011047,22.37207564302808
37381,,1,0.8686,0.12303832173347473,346.131997,27.927576,
37382,1237680331634966927,0,0.9545,0.04240317642688751,346.583764,27.889709,23.01082701530915
37383,1237680331635097916,0,0.9638,0.0428197979927063,346.833905,28.043465,22.662051718166175
37384,1237680331636736738,0,0.9556,0.04357697814702988,351.094785,28.485262,22.77780469148125
37385,1237680331638178596,0,0.5845,0.045386653393507004,354.87653,28.870673,22.435619325596058
37386,1237680528671965623,0,0.9281,0.052800796926021576,357.653517,28.954356,22.659265049979645
37387,1237680331641127944,0,0.9217,0.012896847911179066,2.598715,29.322294,23.30935787194737
37388,1237680331641390044,0,0.9363,0.043779995292425156,3.330108,29.348958,22.786337776036554
